num_packets, time_used, sec/packet, packet/sec
1, 0.0314819812775, 0.0314819812775, 31.7642015979
1, 0.0154759883881, 0.0154759883881, 64.6162283742
1, 0.0154690742493, 0.0154690742493, 64.6451095836
1, 0.00737881660461, 0.00737881660461, 135.523086368
1, 0.0154631137848, 0.0154631137848, 64.6700279076
1, 0.00737380981445, 0.00737380981445, 135.615106053
1, 0.0154590606689, 0.0154590606689, 64.6869833436
1, 0.00741195678711, 0.00741195678711, 134.917138446
1, 0.0154700279236, 0.0154700279236, 64.6411244336
1, 0.00738906860352, 0.00738906860352, 135.335054208
1, 0.0154709815979, 0.0154709815979, 64.637139775
1, 0.0073881149292, 0.0073881149292, 135.352523558
1, 0.0154721736908, 0.0154721736908, 64.6321596425
1, 0.00738215446472, 0.00738215446472, 135.461809256
1, 0.0155010223389, 0.0155010223389, 64.5118740002
1, 0.00739884376526, 0.00739884376526, 135.156253021
1, 0.0155310630798, 0.0155310630798, 64.3870928126
1, 0.00734400749207, 0.00734400749207, 136.165438431
1, 0.0153939723969, 0.0153939723969, 64.9604906531
1, 0.00739192962646, 0.00739192962646, 135.282673203
1, 0.0154731273651, 0.0154731273651, 64.628176089
1, 0.00739097595215, 0.00739097595215, 135.300129032
1, 0.0154881477356, 0.0154881477356, 64.5654998307
1, 0.0154869556427, 0.0154869556427, 64.5704696953
1, 0.00745606422424, 0.00745606422424, 134.119016404
1, 0.0154728889465, 0.0154728889465, 64.6291719313
1, 0.00738906860352, 0.00738906860352, 135.335054208
1, 0.015468120575, 0.015468120575, 64.6490952249
1, 0.00737977027893, 0.00737977027893, 135.505572965
1, 0.00745415687561, 0.00745415687561, 134.153334399
1, 0.0154781341553, 0.0154781341553, 64.6072704868
1, 0.00741696357727, 0.00741696357727, 134.826063197
1, 0.0154728889465, 0.0154728889465, 64.6291719313
1, 0.00735211372375, 0.00735211372375, 136.015306288
1, 0.0154399871826, 0.0154399871826, 64.7668931439
1, 0.015506029129, 0.015506029129, 64.4910435598
1, 0.0155210494995, 0.0155210494995, 64.4286328725
1, 0.00743103027344, 0.00743103027344, 134.570841889
1, 0.00740909576416, 0.00740909576416, 134.96923671
1, 0.0155029296875, 0.0155029296875, 64.5039370079
1, 0.00725793838501, 0.00725793838501, 137.780172131
1, 0.0153441429138, 0.0153441429138, 65.1714472171
1, 0.00731992721558, 0.00731992721558, 136.613380236
1, 0.0155191421509, 0.0155191421509, 64.4365513427
1, 0.0154411792755, 0.0154411792755, 64.7618929978
1, 0.0154209136963, 0.0154209136963, 64.8470006184
1, 0.0154662132263, 0.0154662132263, 64.6570679821
